lat,lon,name,weight,food
49.2037589,-122.9046452,Eats at the Pier,2.0,1
49.0497709,-122.3190013,,1.0,1
49.0497717,-122.3189143,Sticky Buns & More,3.0,1
49.2743218,-123.1269429,Kaide Sushi Bar,6.0,1
49.1968099,-123.140177,BiBo Italian Restaurant,6.0,1
49.197754,-123.1407889,Caffè Artigiano,3.0,1
49.1967129,-123.1395095,JAPADOG,2.0,1
49.1967246,-123.1396099,Ryuu Izakaya,6.0,1
49.1968225,-123.1404204,Neptune Wonton Noodle,6.0,1
49.2909348,-123.1360437,Sushiholic,6.0,1
49.1794492,-123.1341606,Felicos Restaurant,6.0,1
49.1250427,-123.1853319,Kisamos Greek Taverna,6.0,1
49.1630451,-123.1363249,Pho Lan Beef Noodle Soup,6.0,1
49.2812722,-123.0472413,Le Petit Saigon,6.0,1
49.2725297,-123.0562043,Panago Pizza,2.0,1
49.1624624,-122.655793,Ocean Park Pizza & Steakhouse,6.0,1
49.1761814,-123.1306688,Bull King BBQ,6.0,1
49.1761102,-123.1309092,Gingeri Chinese Cuisine,6.0,1
49.175972,-123.1306582,Happy Lamb Hot Pot,6.0,1
49.1764107,-123.1323338,Toku Japanese Restaurant,6.0,1
49.2457903,-122.8916363,Pho 99,6.0,1
49.2457299,-122.891401,Insadong,6.0,1
49.2462257,-122.8918439,Best Sushi N Kitchen,6.0,1
49.2451974,-122.8921762,WINGS Tap and Grill,6.0,1
49.2687365,-123.0457293,Fuku Ramen,6.0,1
49.2827166,-123.1048014,Tacofino,6.0,1
49.2813057,-123.1079703,Mirai Sushi,6.0,1
49.1960486,-123.177943,Hanami,6.0,1
49.1653656,-122.6614878,Round Table Pizza,6.0,1
49.1674933,-122.6674453,Boston Pizza,6.0,1
49.1633833,-122.6594915,Taco Del Mar,2.0,1
49.1660159,-122.6635496,Pizza Hut,6.0,1
49.1672102,-122.6661043,Montana's,6.0,1
49.168251,-122.6675528,The Barley Merchant,6.0,1
49.2640395,-123.1801008,Green Leaf Sushi,6.0,1
49.2762369,-122.8445501,Namoo Sushi,6.0,1
49.2539596,-122.7388737,Swiss Chalet,6.0,1
49.2540332,-122.7388698,Mucho Burrito,2.0,1
49.2548653,-122.7354267,McDonald's,2.0,1
49.2578328,-122.745482,Orrange Kitchen + Bar,6.0,1
49.254477,-122.7379049,Pho 51,6.0,1
49.2541361,-122.7388679,Five Guys,2.0,1
49.2544914,-122.7381621,Subway,2.0,1
49.2543347,-122.737988,Starbucks,3.0,1
49.2580763,-122.7458786,Pho Toan Thang,6.0,1
49.257451,-122.7437942,Tim Hortons,3.0,1
49.1152983,-122.6790538,Sushi Mori,6.0,1
49.1437425,-122.7994953,Creekside Grill,6.0,1
49.3266192,-123.1380363,Trattoria,6.0,1
49.1409171,-122.6009339,The Cafe,6.0,1
49.1399686,-122.6001998,The Lower Cafe,2.0,1
49.1758794,-122.8907911,Mirch Masala,6.0,1
49.1764733,-122.8896127,Mehfil India Restaurant,6.0,1
49.1497112,-122.8645797,Maharaja Sweets and Restaurant,6.0,1
49.1911509,-122.8066783,Sabai Thai Restaurant,6.0,1
49.1863982,-122.8444496,Fresgo Inn,6.0,1
49.1876113,-122.8435939,Nahm Thai Bistro,6.0,1
49.1781171,-123.1356008,Sun Sui Wah Seafood Restaurant,6.0,1
49.2567827,-123.184916,Dairy Queen,2.0,1
49.2254234,-123.0655278,Victoria Restaurant,6.0,1
49.171823,-122.6674842,Quiznos,2.0,1
49.1723013,-122.6674779,Fork N Chopstick,6.0,1
49.3264468,-123.1204257,Panago,2.0,1
49.2880008,-123.1403568,Rio Brazilian Steakhouse,6.0,1
49.28903,-123.1313276,Cinch Grill Italian,6.0,1
49.29089,-123.1342671,Subway,2.0,1
49.1659998,-122.6645407,Booster Juice,2.0,1
